UrSEC Description,,,,,,,,,,
تشریح,جذبات,صنف,اداکار,اداکار  کاآئی ڈی نمبر,نمونہ کی شکل,نمونہ کی شرح,فارمیٹ,دورانیہ سیکنڈز میں ,فائل کا نام,سیریل نمبر
پر اتنی مدت بعد اچانک تمہیں دیکھ کر پرانے رشتے ناطے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,5,3_0_7_29,1029
میں نہ جانے  کب سے تمہاری تلاش میں سر کٹا رہا ہوں,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,3,3_0_7_30,1030
تمہاری تمہاری امی نے مجھے سب کچھ بتا دیا ہے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,5,3_0_7_31,1031
تمہارا شوہر سے شکیل ایک حادثے میں انتقال کر گیا ہے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,6,3_0_7_32,1032
تم ہی تو ہو میری خواب کی تعبیر,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,2,3_0_7_33,1033
دیکھو ہم دونوں کو ہی سہارے کی ضرورت ہے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,4,3_0_7_34,1034
میں کیسے بھول سکتا ہوں گزرے ہوئے چند برسوں میں کئی بار یہاں ایا ہوں,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,9,3_0_7_35,1035
میں تم سے معافی مانگنے نہیں ایا میں معافی نہیں مانگوں گا تم سے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,6,3_0_7_36,1036
اس لیے کہ یہ چھوٹا سا لفظ تمہارے دکھ اور میری ندامت کا مدا نہیں بن سکتا,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,8,3_0_7_37,1037
میں تو تم سے اپنے گناہ کی سزا کی بھیک مانگنے ایا ہوں,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,6,3_0_7_38,1038
پچھتاوے کی جو چٹان اج میرے دل پر اچانک گری ہے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,8,3_0_7_39,1039
اس نے میرے انتقامی جذبوں کے ٹکڑے ٹکڑے کر دیے ہیں,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,8,3_0_7_40,1040
کہ میں ندامت اور پشیمانیوں میں لے ہاتھوں سے ان کرچیوں کو سمیٹنا بھی چاہوں تو شاید ساری زندگی نہ کر سکو,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,14,3_0_7_41,1041
بولو نا خدا کے لیے کچھ تو بولو بولو نا,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,8,3_0_7_42,1042
ایسا لگ رہا ہے مجھے ایسا لگ رہا ہے یہ نہیں ہو سکتا,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,6,3_0_7_43,1043
پڑھ گیا نا کلیجے کو ہاتھ سمجھو یہی میری حالت بھی ہے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,4,3_0_7_44,1044
ہر وقت ڈر لگا رہتا ہے کہ مسجد سے باہر  نکلوں گا تو,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,3,3_0_7_45,1045
حق اور باطل ایک چھت کے نیچے نہیں رہ سکتے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,5,3_0_7_46,1046
میری ماں نہیں ہے نا ورنہ میں بھی بری ہو جاتا,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,4,3_0_7_47,1047
میں نے اپنے لخت جگر کو حلال رزق کھلا کر پالنے کا جرم کیا ہے,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,7,3_0_7_48,1048
اور تمہاری وجہ سے میں اپنی اخرت سے ڈرنے لگا ہوں,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,3,3_0_7_49,1049
نوٹوں کی خوشبو میں دفن کر دیا ہے کمینے کو,افسردہ,مرد,فردوس جمال,3,32-Bit Float,41100 Hz,WAV,4,3_0_7_50,1050
تجھے تو میں بعد میں پوچھتا ہوں,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_01,1051
اندر جاؤ اندر چلو چلو,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_1_02,1052
کوئی باہر نہیں ائے گا سنا تم لوگوں نے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_1_03,1053
تماشا میں نہیں لگا رہا ابا تماشہ تو اپ کی اس لاڈلی بھتیجی نے لگایا ہے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_04,1054
وہ تو میں وقت پر پہنچ گیا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_05,1055
یہ کیا جواب دے گی,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_06,1056
چھوٹی ماں اپ کہاں تھی اپ نظر نہیں رکھ سکتی اپنی بیٹی پر,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_07,1057
کس سے پوچھ کر گئی تھی یہ,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_08,1058
اج ابھی کے ابھی یہاں فیصلہ ہوگا اپ لوگوں میں سے کوئی بھی بیچ میں نہیں ایے گا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_09,1059
بتا رہا ہوں میں اور اچھا نہیں ہوگا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_1_10,1060
اپ نے دودھ کی قسم دے دی ہے اج اپ کے دودھ کا کرز بھی جھکا دیا ہے میں نے چھوٹی ماں,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_11,1061
اور سمجھا دیجیے اپنی بیٹی کو,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_12,1062
قسم کیوں دیا اپ نے ان بغیرتوں نے پیر قدرت اللہ شاہ کی عزت پہ ہاتھ ڈالا ہے کہ,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_13,1063
زندہ چھوڑ دو ان بغیرتوں کو,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_14,1064
اچھی طرح جانتی ہے نا میں کتنی محبت کرتا ہوں اپ سے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_1_15,1065
اپ کی قسم کوئی ٹال نہیں سکتا ہاتھ باندھ دیے نا  موسی کے اپ نے چھوڑ دو انہیں بخش دوں,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_1_16,1066
جانتی ہو مجھے موسی نام ہے میرا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_17,1067
اگر ڈاکہ ڈالنا ہوتا تو تمہیں نکاح کی پیشکش نہ کرتا موسی,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_18,1068
بار بار ایک بات کیوں دہراتی ہو تم,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_1_19,1069
سمجھ نہیں اتی کیا تمہیں,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_20,1070
سمجھ نہیں ا رہا تیری کیا بول رہا ہوں میں تجھ سے کہ ابا کو تمہاری ضرورت ہے ابا جو بیٹا مجھے میں دیکھنا تھا اگر تجھ میں دیکھ لیں گے تو کیا ہو جائے گا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,8,4_0_1_21,1071
اور میں میں ایک لمحے کے لیے بھی میرا نہیں سوچا تم نے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_22,1072
اور تم یہ بات بول رہے ہو بہن ہے  سکینہ میری,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_1_23,1073
اچھا چلو ٹھیک ہے مار دے چلا گولی اور جان لے لی اس کی,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_24,1074
اگر اس کو مار دینے سے مسئلہ حل ہو جائے گا تو مار اسے مار نہ مارتا کیوں نہیں,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_25,1075
اگر وہ مجھے اپنی قسم نہ دیتی نا تو خدا پاک کی قسم جان لے لیتا ہے اس کی,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_26,1076
دکھ ہوا ہے یار مجھے میری ذو,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_27,1077
اماں اس سے میرا ہاتھ مانگنے نہیں گئی تھی جھوٹ بولا اماں نے یار مجھ سے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_1_28,1078
لیکن وہ گھٹیا شخص اس لائق ہی نہیں ہے وہ مرد کہلانے کے لائق ہی نہیں ہے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_29,1079
اور وہ بے غیرت گھٹیا گرا ہوا انسان ہنس رہا تھا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_30,1080
جو قیمت اپ نے جھکائی ہے نا وہ صرف اپ نے نہیں جھکائی میں نے بھی چھکائی ہے اور چھکا رہا ہوں اج تک,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_1_31,1081
پتہ کیجیے اپنے صاحب کا منہ کے بل گرا ہے اپ کا صاحب,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_32,1082
اور گرا بھی ایسے ہے کہ ساری کی ساری مٹی ہلک میں پھنس گئی ہے سانس لینا مشکل ہو گیا ہے اسکا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,8,4_0_1_33,1083
اتنی اسانی سے نہیں اگر اسے مارنا ہی ہوتا تو کیا یہ مشکل تھا میرے لیے ایک سیکنڈ میں اس کو,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_1_34,1084
اسے مرنا نہیں ہے اسے درد کاٹنا ہے اتنا درد اتنا درد اتنا درد کہ درد محسوس ہونا بند ہو جائے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,8,4_0_1_35,1085
اپنے ماں کے قاتل کا چہرہ سب کے سامنے لاؤں گا پوری دنیا کے سامنے لاؤں گا میں,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_1_36,1086
زندگی میں پہلی بار میں نے کسی پر بھروسہ کیا وہ توڑ دیا اپ نے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_37,1087
بس میری کہانی کو مت چھیڑیے میری کہانی کو مت چھیڑیے مت کریدیے میرے پرانے زخم کو,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_1_38,1088
یہ موقع مرید نے خود اپ کے ہاتھ میں تھمایا تھا کیا لگا تھا اپ کو,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_1_39,1089
بالکل ٹھیک کر رہا ہوں میں,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_40,1090
میں نے اپ کو ایک اخری موقع دیا لیکن دھوکہ اپ کی معصومیت کے پیچھے دھوکہ اور صرف دھوکہ چھپا ہے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_1_41,1091
لیکن سارا کا سارا قصور میرا ہے سارا قصور میرا ہے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_42,1092
مجھے لگا کہ شاید شاید اپ کو میرا احساس ہے شاید میرا احساس ہے,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_1_43,1093
جانور لگتا ہوں نا میں اپ کو,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_44,1094
کبھی یہ سوچا ہے کہ انسان انسان پیدا ہوتا ہے جانور کیسے بن گیا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_45,1095
نہیں مارا کیونکہ میں بھیڑیا نہیں ہوں میں قاتل نہیں ہوں,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_1_46,1096
چلاو گولی دیکھ کیا رہے ہو چلاو گولی,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_47,1097
تو ملائکہ کو مارو نا بے وفائی تو ملائکہ نے کی ہے نا تمہارے ساتھ,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_1_48,1098
افسوس تو اس پر ہے جو بک گیا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_1_49,1099
مختلف کرے گا,غصہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_1_50,1100
جانتے ہیں کیا کر رہی تھی یہ بھاگ کر نکاح کر رہی تھی کسی کے ساتھ,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_01,1101
اگر خدانخواستہ ایسا ہو جاتا تو ہماری سات نسلوں پر لگاتار کوئی دھو نہیں سکتا تھا ابا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_02,1102
پتہ نہیں یہ چکر کب سے چل رہا ہے ابا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_2_03,1103
انتقام کے بعد تم یہ بات نہیں جانتی کس کی چھت پر برسنا ہے اور کب برسنا ہے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_04,1104
دیوانگی نہیں مصطفی بھائی یہ انتقام کی بارش ہے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_05,1105
بچپن سے لے کر اج تک یہ جوتے صاف کرتے کرتے بڑا ہوا ہوں صاحب,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_06,1106
عجیب پر اسراریت تھی ان کی اواز میں,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_2_07,1107
خدا کا واسطہ ہے مجھے مزید اذیت مت دیں بیگم صاحبہ,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_08,1108
بالکل اس اگ کی طرح جو انسان کے اندر انتقام میں جلتی ہے اور اس کے اندر کو جل کر راکھ کر دیتی ہے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_09,1109
پتہ نہیں عجیب سی بے چینی ہے ایسے جیسے کوئی چھن گیا ہو,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_10,1110
پاگل مت بن یار کیسی باتیں کر رہا ہے تو,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_11,1111
دماغ کام کر نہیں کر رہا تمہارا میں تمہیں یہ بتا رہا ہوں کہ ابا میری وجہ سے پہلے ہی بہت پریشان ہیں عیسی,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_2_12,1112
وہ تو قاضی کے دفتر میں میرا جانے والا ایک بندہ  کام کرتا ہے اس نے مجھے فون کر کے بتا دیا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_13,1113
کچھ لمحہ دیر کر دیتا تو بغیر ڈولی کے رخصت ہو جاتی ہے یہ,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_14,1114
کاشانہ پیرا کے مرد اتنے بغیرت نہیں ہیں کہ عورت پر ہاتھ اٹھائیں اماں,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_15,1115
اور وہ لڑکا بالکل اس کے قابل نہیں ہے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_2_16,1116
مجھ سے یہ کڑوا گھونٹ پیا نہیں جاتا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_2_17,1117
لڑکی باغی ہو گئی ہے اور عورت سے بہتر  بغاوت کوئی نہیں کر سکتا سمجھے عیسی,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_2_18,1118
ایک الجھن ہے اسے دور کرنے کے لیے جا رہا ہوں,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_19,1119
بات کر کے جا سکے ہم میئر میں,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_2_20,1120
مدد کر یار میری جب تک وہ لڑکی کوئی واضح جواب نہیں دے دیتی,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_2_21,1121
میں زندگی میں پہلی بار ایسا الجھا ہوں یار اگر میں نے تجھے دل کی بات بتا دی ہے تو مجھے مزید الجھانا مت,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_2_22,1122
کہ میں اپنی گلی کا گنڈا اوارہ لچا نہیں جو روز تمہارے راستے میں ا کے کھڑا رہتا ہوں,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_23,1123
اپنے سوال کا جواب لینے روز اتا ہوں یہاں مجھے میرے سوال کا جواب دے دو پھر دوبارہ کبھی واپس نہیں اؤں گا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_2_24,1124
بقو مت پتہ نہیں کیا بکواس کرتے جا رہے ہو,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_2_25,1125
پتہ ہی نہیں تمہارا دیا ہوا تانہ کل رات سے مجھے کاٹ رہا تھا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_26,1126
صرف میرے نام کو کیسے داغدار کر سکتی ہے زوہرا بتاؤ,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_27,1127
نہیں نہیں ٹھیک ہے تو کہا تھا تم نے کچھ غلط تو نہیں کہا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_2_28,1128
میرا دل رو رہا ہے میں تکلیف میں ہوں میں تڑپ رہا ہوں  قدرت کے اس ستم ظریفی  میں میرا دل تڑپ رہا ہے یہ کیا ہے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_2_29,1129
کیوں نہیں ہوئی نفرت یہ سب کیا ہے یہ کیا ہو رہا ہے میرے ساتھ,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_30,1130
جو طوفان انا تھا وہ تو کب سے ا چکا ہے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_2_31,1131
ساری کشتیاں جلا دی ہیں میں نے واپسی کا کوئی راستہ نہیں ہے میرے پاس زوہرا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_32,1132
یہ چھپ چھپ کر ملنا میری محبت کی توہین ہے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_2_33,1133
یہ نام بدنامی عزت مرتبہ رتبہ ان سب سے میرا کوئی لینا دینا نہیں ہے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_2_34,1134
نہیں میڈم خدا کا واسطہ ہے یہ سب مت کیجئے گا میرے ساتھ,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_35,1135
سیدھی طرح کہو نا مجھ سے چل کہہ دو  کہہ دو تمہیں چاہیے یہی تھا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_2_36,1136
کام دلائے گا تو تیرے گھر رہوں گا ورنہ چلا جاؤں گا بتا رہا ہوں,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_37,1137
بوجھ ہوتی تو بہت پہلے خود ختم کر چکا ہوتا اسے,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_2_38,1138
نہیں خدا کا واسطہ ہے یہ ہاتھ کھولو,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_39,1139
ارے جس خوشی کی تلاش میں پاگلوں کی طرح گھوم رہا تھا وہ خوشی دی ہے تم نے مجھے اج,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_2_40,1140
اور ہوتا بھی کیوں نہیں میرا باپ نوکر میرے باپ کا باپ نوکر,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_41,1141
مجھے اپ سے کہتے ہوئے یہ بہت افسوس ہو رہا ہے میں شرمندہ ہوں لیکن,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_42,1142
میں سمجھا نہیں صاحب,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_2_43,1143
پچھلے 20 سال سے جس اگ میں جل رہا ہے نا مرید,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_44,1144
اج اس اگ پر پہلی بارش کی بوند گری ہے مبارک ہو اپ کو,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_45,1145
میں خدا کی قسم کھا کر کہتا ہوں کہ 27 سالوں میں وہ نمک مرید کا کچھ نہیں گزار سکا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_46,1146
کیوں کیا بھروسہ کیوں کیا بھروسہ,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_2_47,1147
سچ سننا چاہتی ہیں سننا چاہتی ہیں سچ,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_48,1148
جانتا ہوں میں جانتا ہوں مشکل ہوتا ہے اپنے منہ پر تھپڑ مارنا,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_49,1149
پر میں نے کبھی اس سے محبت کا اقرار نہیں کیا اور نہ کرتا ہوں,خوف,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_2_50,1150
تو میں چلا جاتا ہوں نا اب عیسیٰ کو رہنے دیں,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_01,1151
ویسے بھی سر میں درد ہے صبح سے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_3_02,1152
نہیں نہیں ایسی کوئی بات نہیں ہے اماں,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_03,1153
ایسے ہی بس طبیعت بوجھل سی ہے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_04,1154
چل بس چھوڑ یار,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_3_05,1155
چھوٹا سا کام کہا تھا تجھ سے میں نے ایک,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_06,1156
اماں کہاں چلی گئیں آواز دے کے مجھے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_3_07,1157
میں بول رہا ہوں نا کہ میں یہاں ہوں,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_08,1158
اور تخت پر اگر میرا ابّا بیٹھ جاتا,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_09,1159
نہیں نہیں ڈاکٹر کو بلانے کی کوئی ضرورت نہیں ہے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_10,1160
تھوڑی دیر کے لیے آیا ہے بخار چلا جائے گا,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_11,1161
ہاں ماں جی وہ تو مجبوری ہے وہ تو آنا پڑے گا,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_12,1162
نہیں نہیں اماں پسند وسند کوئی نہیں ہے مجھے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_3_13,1163
اماں بھی نا بات کا بتنگڑ بنا دیتی ہیں,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_14,1164
میں نے اماں سے ایک سرسری سی بات کی تھی,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_3_15,1165
جی وہ دراصل مجھے آپ سے کچھ پوچھنا تھا,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_16,1166
ہاں بس اچھی لگی مجھے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_17,1167
اور بات صرف اتنی سی ہے کہ ہے اُس میں کچھ الگ,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_3_18,1168
یہ محبت کی کہانیاں ادھوری کیوں رہ جا تی ہیں مراد,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_3_19,1169
قدم خودبخود چلنے لگے جب ہوش آیا تو تمہاری دہلیز پر کھڑا تھا,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_3_20,1170
شاید اسی کو تقدیر کہتے ہیں,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_3_21,1171
جذبوں میں سوداگری کہاں چلتی ہے زُہرہ,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_22,1172
نفرت نہیں ہے بھئی یار تم سے میرا جذبہ نہیں بدلا,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_23,1173
تمہارے گھر کی طرف آتے ہوئے راستے پہ میرے قدم کیسے اُٹھ گئے مجھے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_3_24,1174
ٹھیک ہوں میں لیکن یہ سب کیا ہے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_3_25,1175
مجھ سے وہ کیوں مانگ رہی ہو جو میرے اختیار میں نہیں ہے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_3_26,1176
وہ مانگو جو میرے اختیار میں ہے,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_3_27,1177
اب اسی بے سکونی میں میرا سکون ہے میرا نصیب ہے کاٹ رہا ہوں,بوریت,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_3_28,1178
